Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	14.177936	7.903128	65.0	5.0	14.177936	0.21161887	0.013925219	0.29128224	0.132141	4000	-3.552437e-08	126.33139	-0.019665092	-28.02005	0.9189385	0.01117841	0.1365	79.0	0.4658348560333252
1	17.758928	10.006913	53.0	4.0	17.758928	2.023192	0.40395784	3.3288298	0.6001249	8000	-1.04546544e-07	150.23859	-0.017957907	-42.643654	0.90299934	0.00823318	0.11275	79.0	0.9055590629577637
2	22.72159	12.653008	69.0	6.0	22.72159	4.716698	0.9650257	7.7462926	-0.8219844	12000	9.059906e-09	175.56473	-0.019921975	-54.862663	0.8859241	0.010652378	0.13225	79.0	1.354430913925171
3	30.14394	20.189306	155.0	7.0	30.14394	8.351553	1.1142954	11.35565	1.597016	16000	-6.437302e-08	297.85275	-0.017785594	-81.13086	0.88164306	0.008897187	0.1155	79.0	1.7941477298736572
4	43.45652	26.873056	136.0	7.0	43.45652	13.594777	1.3950487	16.250946	5.9439197	20000	2.5987624e-08	374.64014	-0.014363757	-99.25467	0.878245	0.0063816486	0.08175	79.0	2.221108913421631
5	57.913044	29.82594	131.0	11.0	57.913044	19.618258	1.3468786	22.007252	11.319063	24000	4.351139e-09	370.37488	-0.013035951	-90.56372	0.85117143	0.005920514	0.07025	79.0	2.761415958404541
6	62.28125	25.362047	142.0	14.0	62.28125	24.691938	2.7896163	27.738028	6.6645746	28000	6.437302e-09	256.7319	-0.012333416	-40.057617	0.8382329	0.008547745	0.05275	79.0	3.2966747283935547
7	81.57143	40.339375	247.0	9.0	81.57143	27.113037	3.989417	32.38774	5.788336	32000	-2.7656554e-08	424.42184	-0.0069223265	-106.729095	0.8276096	0.0032263258	0.02275	79.0	3.7632367610931396
8	89.38636	31.635145	186.0	13.0	89.38636	32.03366	6.049133	37.613808	6.213806	36000	-1.4901161e-08	264.73608	-0.0054334635	-53.984573	0.80067205	0.003961931	0.03725	79.0	4.190807819366455
9	101.10256	41.924713	268.0	42.0	101.10256	35.2157	8.276953	42.75772	1.8268085	40000	-1.1920929e-08	302.36475	-0.008723182	-55.530792	0.7926531	0.006209242	0.048	79.0	4.616309881210327
10	128.8	60.965782	315.0	55.0	128.8	38.589046	10.195607	48.02366	1.7224348	44000	-5.00679e-08	427.33572	-0.008962768	-102.164246	0.77345496	0.0027649603	0.0575	79.0	5.043773889541626
11	169.91304	78.433525	351.0	66.0	169.91304	45.71854	11.093193	55.436733	2.7463737	48000	-9.536744e-10	474.22418	-0.008520922	-114.15814	0.77370346	0.0059254994	0.0585	79.0	5.468223810195923
12	254.92308	147.71983	664.0	59.0	254.92308	54.70311	9.276054	62.812386	7.1124673	52000	5.1259996e-09	814.344	-0.006643517	-298.56256	0.7693351	0.0015346252	0.027	79.0	5.907843828201294
13	382.9	230.1597	799.0	130.0	382.9	62.025234	11.326962	73.382034	15.503616	56000	1.6510487e-08	642.6185	-0.006999397	-187.90414	0.76231986	0.01712679	0.1805	7.0	6.278496026992798
14	338.72726	179.75645	686.0	88.0	338.72726	74.16678	8.831339	81.569	23.485964	60000	-7.1525574e-10	451.77267	-0.008412899	-47.512268	0.7619306	0.005397972	0.05025	79.0	6.696727752685547
15	947.75	90.49966	1000.0	791.0	947.75	79.439835	4.0713825	84.69064	47.134853	64000	2.3961068e-08	368.84128	-0.0068368367	-225.11014	0.7673574	0.0047629117	0.073	79.0	7.11856484413147
16	802.75	341.64703	1000.0	211.0	802.75	88.63402	5.0971885	93.20583	58.15462	68000	-1.7285346e-08	213.34108	-0.0059066913	-76.953415	0.7445902	0.005182656	0.058	79.0	7.554481744766235
17	935.25	112.15029	1000.0	741.0	935.25	94.85627	2.9275563	97.729774	77.4108	72000	3.9339065e-09	115.899864	-0.0051800497	-5.587532	0.72216046	0.015269258	0.143	13.0	7.92979097366333
18	1000.0	0.0	1000.0	1000.0	1000.0	96.386734	3.078655	99.58127	80.71564	76000	1.37090685e-08	21.05901	-0.0064164572	-14.019888	0.7185293	0.015646406	0.2025	9.0	8.29287600517273
19	784.25	373.68997	1000.0	137.0	784.25	98.06686	2.9451973	101.1736	83.64862	80000	-7.152557e-09	120.387405	-0.0062176473	-2.7822952	0.71650434	0.0073595177	0.1025	79.0	8.744146823883057
