Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	14.3309355	7.783388	59.0	5.0	14.3309355	0.21342784	0.013691845	0.35604125	0.13806394	4000	1.4305115e-09	124.68885	-0.020496469	-28.109459	0.9189385	0.0127162635	0.13825	79.0	0.5067529678344727
1	16.568464	8.525558	49.0	4.0	16.568464	1.9994092	0.3064271	3.1344283	-0.11027937	8000	-7.1525574e-10	117.710106	-0.017677128	-34.560417	0.9084039	0.010612398	0.11875	79.0	0.9611110687255859
2	21.8306	12.816858	69.0	5.0	21.8306	4.4627137	0.49906647	5.8713827	1.8164835	12000	2.0503998e-08	177.26665	-0.02047869	-55.455437	0.898672	0.011076228	0.1275	79.0	1.498072862625122
3	35.63393	21.286732	99.0	5.0	35.63393	8.443598	0.7943223	10.712731	3.0955822	16000	8.34465e-08	341.18927	-0.015720563	-112.82274	0.8974203	0.0022531545	0.09825	79.0	1.9713518619537354
4	44.02222	28.973158	148.0	6.0	44.02222	14.294608	0.85867256	16.263176	10.924874	20000	-3.004074e-08	408.39044	-0.012386708	-101.78537	0.8931675	0.0041565876	0.0575	79.0	2.4664969444274902
5	57.057144	30.04848	127.0	10.0	57.057144	20.236258	1.0607313	21.854792	10.843717	24000	-1.0848045e-08	358.67838	-0.009996306	-78.802704	0.8684637	0.0025196457	0.0355	79.0	2.934414863586426
6	60.5	24.306284	132.0	15.0	60.5	24.738665	2.367191	26.787388	7.4784966	28000	1.7642975e-08	238.43884	-0.010829934	-33.783676	0.85469645	0.008245734	0.06375	79.0	3.4290807247161865
7	81.42857	36.385128	194.0	9.0	81.42857	26.67429	3.7813835	30.215538	4.5777016	32000	-1.2397766e-08	401.39612	-0.007590611	-94.428345	0.83851475	0.0049815523	0.03575	79.0	3.8926138877868652
8	85.82609	31.264166	205.0	18.0	85.82609	31.82125	5.493023	36.638504	4.6004734	36000	1.3351441e-08	277.83783	-0.0064778286	-45.042526	0.828549	0.0034344527	0.041	79.0	4.3547279834747314
9	107.361115	68.06866	374.0	41.0	107.361115	34.911343	6.8390093	41.682713	4.029712	40000	-1.45435335e-08	572.3979	-0.01104579	-124.011475	0.80537945	0.0069439	0.06075	79.0	4.8043646812438965
10	128.83333	52.988735	277.0	45.0	128.83333	41.63407	8.280238	49.675236	3.7840114	44000	1.3232231e-08	402.42444	-0.010630806	-66.24695	0.7950982	0.0067570554	0.05625	79.0	5.260480880737305
11	185.95238	78.12169	383.0	51.0	185.95238	46.3242	8.738764	54.277515	3.941188	48000	-1.0430813e-08	633.84106	-0.011052815	-139.13834	0.79675955	0.0057540857	0.055	79.0	5.707805871963501
12	284.2143	151.1977	566.0	59.0	284.2143	55.034378	8.504776	63.178608	11.918113	52000	-1.6659499e-08	755.01526	-0.00905579	-214.37848	0.79298156	0.0052464283	0.0725	79.0	6.157570838928223
13	401.125	316.98007	1000.0	122.0	401.125	67.11272	7.0944233	71.965324	13.557987	56000	3.2305717e-08	681.3937	-0.010265581	-237.03928	0.78481567	0.0032975657	0.03625	79.0	6.62789511680603
14	582.8333	329.45886	1000.0	153.0	582.8333	78.20053	5.5857196	82.19896	22.961174	60000	6.437302e-09	451.98163	-0.0070583723	-106.681305	0.7646151	0.0029618654	0.0235	79.0	7.078662872314453
15	1000.0	0.0	1000.0	1000.0	1000.0	86.424484	2.284909	88.468575	70.58237	64000	5.4836274e-08	160.53102	-0.008459813	-129.5944	0.7553786	0.0025710582	0.05075	79.0	7.528528928756714
16	802.25	342.51306	1000.0	209.0	802.25	94.23817	1.2935317	96.04367	86.66364	68000	1.7762185e-08	128.42775	-0.0035185653	-9.161072	0.7194255	0.0018494717	0.0265	79.0	7.97491979598999
17	934.5	113.449326	1000.0	738.0	934.5	96.28581	1.4307282	98.294945	88.37371	72000	-8.106232e-09	114.08527	-0.007491921	-1.4752426	0.7064582	0.013113045	0.10075	79.0	8.451996803283691
18	1000.0	0.0	1000.0	1000.0	1000.0	96.35983	2.2288613	98.78703	83.28369	76000	1.078844e-08	16.602604	-0.009019833	-11.044179	0.69362724	0.0036255633	0.03975	79.0	8.895558834075928
19	1000.0	0.0	1000.0	1000.0	1000.0	99.10525	0.8809932	100.23764	93.85655	80000	1.859665e-08	1.4264312	-0.008365288	-0.67572415	0.66269374	0.005243724	0.05175	79.0	9.348952770233154
